"No.","Time","Source IP","Source HW","Source Port","Dest IP","Dest HW","Dest Port","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","CadmusCo_3b:89:8d","38641","94.8.222.9","RealtekU_12:35:02","80","TCP","74","38641 > http [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26124 TSecr=0 WS=64"
"2","0.000234000","10.0.2.15","CadmusCo_3b:89:8d","57517","94.8.222.9","RealtekU_12:35:02","443","TCP","74","57517 > https [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26124 TSecr=0 WS=64"
"3","0.008100000","94.8.222.9","RealtekU_12:35:02","80","10.0.2.15","CadmusCo_3b:89:8d","38641","TCP","60","http > 38641 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"4","0.008355000","10.0.2.15","CadmusCo_3b:89:8d","38641","94.8.222.9","RealtekU_12:35:02","80","TCP","54","38641 > http [ACK] Seq=1 Ack=1 Win=14600 Len=0"
"5","0.009290000","10.0.2.15","CadmusCo_3b:89:8d","38641","94.8.222.9","RealtekU_12:35:02","80","TCP","54","38641 > http [RST, ACK] Seq=1 Ack=1 Win=14600 Len=0"
"6","1.102330000","10.0.2.15","CadmusCo_3b:89:8d","57518","94.8.222.9","RealtekU_12:35:02","443","TCP","74","57518 > https [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26400 TSecr=0 WS=64"
"7","1.213620000","10.0.2.15","CadmusCo_3b:89:8d","51812","192.168.0.1","RealtekU_12:35:02","53","DNS","83","Standard query 0x24ba  PTR 9.222.8.94.in-addr.arpa"
"8","1.256527000","192.168.0.1","RealtekU_12:35:02","53","10.0.2.15","CadmusCo_3b:89:8d","51812","DNS","188","Standard query response 0x24ba  PTR 5e08de09.bb.sky.com"
"9","1.260281000","10.0.2.15","CadmusCo_3b:89:8d","59608","94.8.222.9","RealtekU_12:35:02","445","TCP","74","59608 > microsoft-ds [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26439 TSecr=0 WS=64"
"10","1.260415000","10.0.2.15","CadmusCo_3b:89:8d","51347","94.8.222.9","RealtekU_12:35:02","25","TCP","74","51347 > smtp [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26439 TSecr=0 WS=64"
"11","1.260506000","10.0.2.15","CadmusCo_3b:89:8d","33641","94.8.222.9","RealtekU_12:35:02","995","TCP","74","33641 > pop3s [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26439 TSecr=0 WS=64"
"12","1.260579000","10.0.2.15","CadmusCo_3b:89:8d","37939","94.8.222.9","RealtekU_12:35:02","22","TCP","74","37939 > ssh [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26439 TSecr=0 WS=64"
"13","1.260652000","10.0.2.15","CadmusCo_3b:89:8d","49428","94.8.222.9","RealtekU_12:35:02","139","TCP","74","49428 > netbios-ssn [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26439 TSecr=0 WS=64"
"14","1.260721000","10.0.2.15","CadmusCo_3b:89:8d","37580","94.8.222.9","RealtekU_12:35:02","3389","TCP","74","37580 > ms-wbt-server [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26439 TSecr=0 WS=64"
"15","1.261246000","10.0.2.15","CadmusCo_3b:89:8d","38141","94.8.222.9","RealtekU_12:35:02","199","TCP","74","38141 > smux [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=26439 TSecr=0 WS=64"
