"No.","Time","Source IP","Source HW","Source Port","Dest IP","Dest HW","Dest Port","Protocol","Length","Info"
"1","0.000000000","10.50.63.61","Giga-Byt_59:c5:93","16878","163.1.2.1","Sonicwal_18:fb:1a","53","DNS","88","Standard query 0xa8b2  A s.gateway.messenger.live.com"
"2","0.000021000","10.50.63.61","Giga-Byt_59:c5:93","16878","129.67.1.1","Sonicwal_18:fb:1a","53","DNS","88","Standard query 0xa8b2  A s.gateway.messenger.live.com"
"3","0.001435000","129.67.1.1","Sonicwal_18:fb:1a","53","10.50.63.61","Giga-Byt_59:c5:93","16878","DNS","544","Standard query response 0xa8b2  CNAME skype.geo.msnmessenger.msn.com.akadns.net CNAME db3.skype.msnmessenger.msn.com.akadns.net A 157.56.123.82"
"4","0.001457000","163.1.2.1","Sonicwal_18:fb:1a","53","10.50.63.61","Giga-Byt_59:c5:93","16878","DNS","544","Standard query response 0xa8b2  CNAME skype.geo.msnmessenger.msn.com.akadns.net CNAME db3.skype.msnmessenger.msn.com.akadns.net A 157.56.122.82"
"5","0.172618000","10.50.63.61","Giga-Byt_59:c5:93","47465","129.67.1.1","Sonicwal_18:fb:1a","53","DNS","77","Standard query 0xde99  A dsn14.d.skype.net"
"6","0.174687000","129.67.1.1","Sonicwal_18:fb:1a","53","10.50.63.61","Giga-Byt_59:c5:93","47465","DNS","539","Standard query response 0xde99  CNAME dsn14.skype-dsn.akadns.net A 157.55.235.149 A 213.199.179.142 A 213.199.179.151 A 213.199.179.157 A 64.4.23.150 A 64.4.23.162 A 111.221.74.13 A 111.221.74.26"
"7","0.174911000","10.50.63.61","Giga-Byt_59:c5:93","38870","129.67.1.1","Sonicwal_18:fb:1a","53","DNS","87","Standard query 0x4b6e  A 20.0.1.4.2.rst9.r.skype.net"
"8","0.191257000","10.50.63.61","Giga-Byt_59:c5:93","46504","157.56.123.82","Sonicwal_18:fb:1a","443","TCP","74","46504 > https [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=5275696 TSecr=0 WS=128"
"9","0.200448000","10.50.63.61","Giga-Byt_59:c5:93","40882","111.221.74.26","Sonicwal_18:fb:1a","33033","UDP","75","Source port: 40882  Destination port: 33033"
"10","0.204979000","157.56.123.82","Sonicwal_18:fb:1a","443","10.50.63.61","Giga-Byt_59:c5:93","46504","TCP","70","https > 46504 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 SACK_PERM=1 TSval=428920712 TSecr=5275696"
"11","0.205026000","10.50.63.61","Giga-Byt_59:c5:93","46504","157.56.123.82","Sonicwal_18:fb:1a","443","TCP","66","46504 > https [ACK] Seq=1 Ack=1 Win=14600 Len=0 TSval=5275699 TSecr=428920712"
"12","0.220116000","129.67.1.1","Sonicwal_18:fb:1a","53","10.50.63.61","Giga-Byt_59:c5:93","38870","DNS","547","Standard query response 0x4b6e  CNAME rstw.skype-cr.akadns.net A 91.190.218.61 A 91.190.218.63 A 91.190.218.64 A 91.190.218.65 A 91.190.218.52 A 91.190.218.53 A 91.190.218.57 A 91.190.218.60"
"13","0.411448000","10.50.63.61","Giga-Byt_59:c5:93","46504","157.56.123.82","Sonicwal_18:fb:1a","443","TLSv1","128","Client Hello"
"14","0.421163000","10.50.63.61","Giga-Byt_59:c5:93","51141","91.190.218.61","Sonicwal_18:fb:1a","12350","TCP","74","51141 > 12350 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=5275753 TSecr=0 WS=128"
"15","0.426301000","157.56.123.82","Sonicwal_18:fb:1a","443","10.50.63.61","Giga-Byt_59:c5:93","46504","TCP","1526","[TCP segment of a reassembled PDU]"
"16","0.426332000","10.50.63.61","Giga-Byt_59:c5:93","46504","157.56.123.82","Sonicwal_18:fb:1a","443","TCP","66","46504 > https [ACK] Seq=63 Ack=1461 Win=17376 Len=0 TSval=5275754 TSecr=428920733"
"17","0.435718000","91.190.218.61","Sonicwal_18:fb:1a","12350","10.50.63.61","Giga-Byt_59:c5:93","51141","TCP","74","12350 > 51141 [SYN, ACK] Seq=0 Ack=1 Win=7240 Len=0 MSS=1460 SACK_PERM=1 TSval=3075217598 TSecr=5275753 WS=1024"
"18","0.435755000","10.50.63.61","Giga-Byt_59:c5:93","51141","91.190.218.61","Sonicwal_18:fb:1a","12350","TCP","66","51141 > 12350 [ACK] Seq=1 Ack=1 Win=14720 Len=0 TSval=5275757 TSecr=3075217598"
"19","0.436279000","10.50.63.61","Giga-Byt_59:c5:93","51141","91.190.218.61","Sonicwal_18:fb:1a","12350","TCP","158","51141 > 12350 [PSH, ACK] Seq=1 Ack=1 Win=14720 Len=92 TSval=5275757 TSecr=3075217598"
"20","0.440389000","157.56.123.82","Sonicwal_18:fb:1a","443","10.50.63.61","Giga-Byt_59:c5:93","46504","TCP","1514","[TCP segment of a reassembled PDU]"
