"No.","Time","Source IP","Source HW","Source Port","Dest IP","Dest HW","Dest Port","Protocol","Length","Info"
"1","0.000000","23.20.23.147","fe:ff:ff:ff:ff:ff","38850","10.252.174.188","12:31:38:00:a9:4e","22","TCP","74","38850 > ssh [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=841005 TSecr=0 WS=16"
"2","0.000037","10.252.174.188","12:31:38:00:a9:4e","22","23.20.23.147","fe:ff:ff:ff:ff:ff","38850","TCP","74","ssh > 38850 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM=1 TSval=5252207 TSecr=841005 WS=16"
"3","0.001685","23.20.23.147","fe:ff:ff:ff:ff:ff","38850","10.252.174.188","12:31:38:00:a9:4e","22","TCP","66","38850 > ssh [ACK] Seq=1 Ack=1 Win=14608 Len=0 TSval=841005 TSecr=5252207"
"4","0.086444","10.252.174.188","12:31:38:00:a9:4e","22","23.20.23.147","fe:ff:ff:ff:ff:ff","38850","SSHv2","105","Server Protocol: SSH-2.0-OpenSSH_5.9p1 Debian-5ubuntu1\\r"
"5","0.087987","23.20.23.147","fe:ff:ff:ff:ff:ff","38850","10.252.174.188","12:31:38:00:a9:4e","22","TCP","66","38850 > ssh [ACK] Seq=1 Ack=40 Win=14608 Len=0 TSval=841027 TSecr=5252229"
"6","0.089097","23.20.23.147","fe:ff:ff:ff:ff:ff","38850","10.252.174.188","12:31:38:00:a9:4e","22","SSHv2","87","Client Protocol: SSH-2.0-OpenSSH_5.0\\r"
"7","0.089128","10.252.174.188","12:31:38:00:a9:4e","22","23.20.23.147","fe:ff:ff:ff:ff:ff","38850","TCP","66","ssh > 38850 [ACK] Seq=40 Ack=22 Win=14480 Len=0 TSval=5252229 TSecr=841027"
"8","0.091125","10.252.174.188","12:31:38:00:a9:4e","22","23.20.23.147","fe:ff:ff:ff:ff:ff","38850","SSHv2","1050","Server: Key Exchange Init"
"9","0.093270","23.20.23.147","fe:ff:ff:ff:ff:ff","38850","10.252.174.188","12:31:38:00:a9:4e","22","SSHv2","626","Client: Key Exchange Init"
"10","0.153865","10.252.174.188","12:31:38:00:a9:4e","22","23.20.23.147","fe:ff:ff:ff:ff:ff","38850","TCP","66","ssh > 38850 [ACK] Seq=1024 Ack=582 Win=15600 Len=0 TSval=5252246 TSecr=841028"
"11","0.155482","23.20.23.147","fe:ff:ff:ff:ff:ff","38850","10.252.174.188","12:31:38:00:a9:4e","22","SSHv2","90","Client: Diffie-Hellman GEX Request"
"12","0.155495","10.252.174.188","12:31:38:00:a9:4e","22","23.20.23.147","fe:ff:ff:ff:ff:ff","38850","TCP","66","ssh > 38850 [ACK] Seq=1024 Ack=606 Win=15600 Len=0 TSval=5252246 TSecr=841044"
"13","0.157596","10.252.174.188","12:31:38:00:a9:4e","22","23.20.23.147","fe:ff:ff:ff:ff:ff","38850","SSHv2","218","Server: Diffie-Hellman Key Exchange Reply"
"14","0.165396","23.20.23.147","fe:ff:ff:ff:ff:ff","38850","10.252.174.188","12:31:38:00:a9:4e","22","SSHv2","210","Client: Diffie-Hellman GEX Init"
