"No.","Time","Source IP","Source HW","Source Port","Dest IP","Dest HW","Dest Port","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","CadmusCo_3b:89:8d","34994","192.168.0.1","RealtekU_12:35:02","53","DNS","81","Standard query 0x6bd4  AAAA changelogs.ubuntu.com"
"2","0.036596000","192.168.0.1","RealtekU_12:35:02","53","10.0.2.15","CadmusCo_3b:89:8d","34994","DNS","142","Standard query response 0x6bd4 "
"3","0.043193000","10.0.2.15","CadmusCo_3b:89:8d","58404","192.168.0.1","RealtekU_12:35:02","53","DNS","86","Standard query 0x1c36  AAAA changelogs.ubuntu.com.Home"
"4","0.081985000","192.168.0.1","RealtekU_12:35:02","53","10.0.2.15","CadmusCo_3b:89:8d","58404","DNS","161","Standard query response 0x1c36 No such name"
"5","0.083858000","10.0.2.15","CadmusCo_3b:89:8d","54500","192.168.0.1","RealtekU_12:35:02","53","DNS","81","Standard query 0x9a34  A changelogs.ubuntu.com"
"6","0.115927000","192.168.0.1","RealtekU_12:35:02","53","10.0.2.15","CadmusCo_3b:89:8d","54500","DNS","209","Standard query response 0x9a34  A 91.189.95.36"
"7","0.117617000","10.0.2.15","CadmusCo_3b:89:8d","40814","91.189.95.36","RealtekU_12:35:02","80","TCP","74","40814 > http [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=358992 TSecr=0 WS=64"
"8","0.146254000","91.189.95.36","RealtekU_12:35:02","80","10.0.2.15","CadmusCo_3b:89:8d","40814","TCP","60","http > 40814 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"9","0.146437000","10.0.2.15","CadmusCo_3b:89:8d","40814","91.189.95.36","RealtekU_12:35:02","80","TCP","54","40814 > http [ACK] Seq=1 Ack=1 Win=14600 Len=0"
"10","0.147334000","10.0.2.15","CadmusCo_3b:89:8d","40814","91.189.95.36","RealtekU_12:35:02","80","HTTP","278","GET /meta-release HTTP/1.1 "
"11","0.148905000","91.189.95.36","RealtekU_12:35:02","80","10.0.2.15","CadmusCo_3b:89:8d","40814","TCP","60","http > 40814 [ACK] Seq=1 Ack=225 Win=65535 Len=0"
"12","0.181508000","91.189.95.36","RealtekU_12:35:02","80","10.0.2.15","CadmusCo_3b:89:8d","40814","HTTP","276","HTTP/1.1 304 Not Modified "
