what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1362679247012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362679251333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362679260558
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1362679262003
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1362679262006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362679264256
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1362681216510
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1362681216794
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1362681216853
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1362681217009
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1362681217013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362681217316
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1362681217794
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362681217875
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362681217953
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1362681218369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362681220435
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1362681221593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362681227436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362681227498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362681249223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362681249341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362681255511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362681255649
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1362681260257
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362681260299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362681272822
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1362681285192
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1362681285261
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1362681285318
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1362681285697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362681285860
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362681287300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362681293304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362681310539
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1362681315011
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1362681315030
